,id_hash,gender,age,location,status,date_search,date_of_loss,last_search_date,search_period,head,content,gender_new
198,,,[60],Рубцовск Республика Адыгея ,жив(а),,,,,"Жив Ярослав Тимофеевич Серманович 60, г. Рубцовск, Республика Адыгея","Ярослав Тимофеевич Серманович 60, г. Рубцовск, Республика Адыгея 

14 января 2020 около 09:00 ушёл из дома и не вернулся



Приметы: рост 170 см, худощавого телосложения, волосы русые, глаза голубые.

Был одет: неизвестно


Ориентировка на печать

Ориентировка на репост


--------------------------------------------------
 Таблица больниц и ОВД
СБОР: на автономные группы
Время инфоргу поиска:
7.07.2020 19:00
Место сбора: ул. Бортовоя ул. Корамена, 9982, http://lais.ru/
8-11-10_2051


Координатор-консультант: Инфорг Дарья Анна 89190052858,  Цвет Бусинка ""Нафли"", Автономная шкуртка,Наталья
Старший на месте: Дем

Инфорг: Наталья Вероникова 892366631680, Наталья 8950349560923
--------------------------------------------------
Координатор-консультант: Кристина (Светлана) 89045231665, Татьяна 892544347911, Анна 8905912285411

Инфорг: Наталья Вероникова 89236663160, Татьяна 890591228",муж
199,,,[35],Болосовск Алтайский край ,жив(а),,,,,"Жив Ярослав Юрьевич Покинкин, 35 лет, г. Болосовск, Алтайский край","Ярослав Юрьевич Покинкин, 35 лет, г. Болосовск, Алтайский край

26 мая 2018 ушёл в лес и не вернулся



25 мая 2018 года ушёл в лес и не вернулся.




Приметы:
Рост: 170 см.
Телосложение: нормальное
Цвет глаз: серо-голубые
Волосы: тёмно-русые

Был одет: чёрно цвета с бело-белыми полосами, чёрные штаны шлёпанцы.

С собой: зеленого цвета с белыми вставками и балытьки. 

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------

Инфорг: Ваниль Мироз 89053850265
Написать инфоргу в Телеграм
__
[+] Для СМИ
Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также пресс-служба «ЛизаАлерт». 
Запрос на согласование фото- и видеосъемки на поисках можно оставить на горячей линии отряда 8(800)700",муж
200,,,[69],Волгоград ,жив(а),,,,,"Жива Александра Андреевна Семелькина, 69 лет (1979 г. р.), г. Волгоград","Александра Андреевна Семелькина, 69 лет (1979 г. р.), г. Волгоград 

5 мая 2023 года ушла в неизвестном направлении. 



Приметы:
Рост: 150 см.
Телосложение: xудощавое
Цвет глаз: серо-голубые
Волосы: светло-русые, короткая стрижка

Была одета: синяя куртка, черные штаны, черные кроссовки, темные кроссовки.

Ориентировка на печать
Ориентировка на репост
--------------------------------------------------
Инфорг: Надежда 89271221832  @la_gorzata, Екатерина 891865231666, Поданта 89184337331  @la_gorzata, Ирина 89129837330  @la_gorzata  89116415293  @la_gorzata   89118809837 
______________________________________________________

Инфорг: Наталья (Татьяна) 89271221836
Написать инфоргу в Telegram 01.05.2023
Горячая линия отряда: 88007005452 - - https://drive.google.com/file/d/0B0QQDqTdE... sp=sharing, СИЗ фото- и видеосъемки на поисках можно оставить на горячей линии отряда: 89184337331 - https://drive.google.com/file/d/0B0QDqTdE... sp=sharing
Инфорг: Наталья (Яната) 89167970057  @la_gorzata  891298436289 
СОБО",жен
201,,,[70],Рыбинск Республика Мордовия ,жив(а),,,,,"Жива Алена Андреевна Челекова Юрьевна, 70 лет, г. Рыбинск, Республика Мордовия","Алена Андреевна Челекова Юрьевна, 70 лет, г. Рыбинск, Республика Мордовия 17 августа 2019 года около 6:00 ушла из дома и не вернуласьПриметы:Рост: 168 см.Телосложение: xудощавоеЦвет глаз: голубыеВолосы: седыеБыла одета: тёмно-синяя куртка, синие джинсы, светло-синие кроссовки, чёрные ботинки, чёрные сандалии вязаная шапка, чёрная вязаная шапкаТаблица прозвона больниц и ОВДОриентировка на печатьОриентировка на репост--------------------------------------------------Инфорг: Яната Наталия (Залка) 89627938640Написать инфоргу Валерия работа Артем 89627938640Координаты штаба:N45 г. ОриентировкаСтарший на месте:Ориентировка на репост--------------------------------------------------Инфорг: еевород Кирин 89061566330, Верхная 89053850265Координаторовант: Ennoris Дмитрий СИЗ: Людмила Андреевна  896088742Валерия (Плятина) 89053850265 М",жен
202,,,[82],Роковао ,жив(а),,,,,"Жива Алена Богдановна Копышкова 82 года, пос. Роковао, Осная Якотославский р-н, ЛО","Алена Богдановна Копышкова 82 года, пос. Роковао, Осная Якотославский р-н, ЛО 

С 14 сентября 2024 года его местонахождение неизвестно.



Приметы:
Рост: 165 см.  
Телосложение: нормальное
Цвет глаз: карие
Волосы: глаза карие

Была одета: синяя куртка, сапоги зеленые штаны, чёрные кроссовки.

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------

Инфорг: Марина (Наталья) 89105826363, Ольга (Янка) 89209007100.
Написать инфоргу в Телеграм
__

[+] для СМИ 
Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также пресс-служба «ЛизаАлерт». 
Запрос на согласование фото- и видеосъемки на поисках можно оставить на горячей линии отряда 8(800)7005452.

--------------------------------------------------
Координатор: Яна Ивания (Наталья) 89",жен
203,,,[61],НСск Ярославская обл ,жив(а),,,,,"Жива Алена Егоровна Тюхина, 61 год, мудрявовский район, г. НСО - г. НСск, Ярославская обл.","Алена Егоровна Тюхина, 61 год, мудрявовский район, г. НСО - г. НСск, Ярославская обл.   

14 июля 2020 года ушла в лес и не вернулась



Приметы:
Рост: 165 см.
Телосложение: xудощавое
Цвет глаз: карие
Волосы: седые, до плеч

Была одета: зелёная куртка, тёмно-синие спортивные штаны с капюшоном, чёрные резиновые сапоги.

Ориентировка на печать

Ориентировка на репост

СБОР: в 04:00  в люсьм готовности, координаты штаба: 38.396938, 39.371164

[+] Для СМИПредоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также пресс-служба «ЛизаАлерт». Все фото- и видеосъемки на поисках проводятся по согласованию с пресс-службой: smi@lizaalert.org
 Внимание! Выезд! ДЫЕЗД!",жен
204,,,[70],Барнаул ,жив(а),,,,,"Жива Алена Леонидовна Клеминкова (Карал) Ольга Валесской край, 70 лет, г. Барнаул","Алена Леонидовна Клеминкова (Карал) Ольга Валесской край, 70 лет, г. Барнаул

С 14 декабря 2023 года его местонахождение неизвестно.



Приметы:
Рост: 163 см.
Телосложение: xудощавое.
Цвет глаз: карие.
Волосы: каштановые, короткая стрижка, тёмно-русые.

Был одет: темно-синяя куртка, темно-синие брюки, черные кроссовки.

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------

СБОР на поиск:
1. см.
2. СОБОР сбора: 14.09.2023 в 2:00
3. МОЖЕТЫ: 89.413948, 81.332857
4. СИЗ телефона поиска: от ко прису или простуда. 
--------------------------------------------------

Координатор: Верона (Вероника)
Инфорг: без Клика 896224066057, Наталья (+79058228948), Анна (Наталья) 89069137057 Юврида, Соловушка 89123474609
Написать инфоргу в телеграмм
Предоставлять комментарии по поиску для СМИ могут только �",жен
205,,,[46],Саланск Саратовская обл ,жив(а),,,,,"Жива Алена Никитична Закелова 46 лет, г. Саланск, Саратовская обл.","Алена Никитична Закелова 46 лет, г. Саланск, Саратовская обл.  

19 августа 2021 около 16:00 ушла из дома и не вернулась



Приметы:
Рост: 182 см.
Телосложение: нормальное
Цвет глаз: серые
Волосы: тёмно-русые

Был одет: черная куртка с черными рукавом, спортивные штаны, синие шлепки.

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------

Инфорг: HeadHunter (Екатерина) 89093850265
Написать инфоргу в телеграмм
__

Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также пресс-служба «ЛизаАлерт». 
Запрос на согласование фото- и видеосъемки на поисках можно оставить на горячей линии отряда 8(800)7005452.
--------------------------------------------------
Координатор, Андрей
Инфорг: Сергей Пёрезка 89107856194, Кирва 89053867406, Михалья СИЗ 8976723074 
Батьба �",жен
206,,,[75],Барнаул ,жив(а),,,,,"Жива Алена Никитична Чурнова Сергеевна 75 лет, г. Барнаул","Алена Никитична Чурнова Сергеевна 75 лет, г. Барнаул  

24 апреля 2023 года видели в последний раз, с тех пор местонахождение неизвестно



Приметы:
Рост: 170 см.
Телосложение: xудощавое
Цвет глаз: зелёные
Волосы: чёрные, короткая стрижка

Была одета: имеются куртка, светлая куртка, серый свитер, зелёные резиновые сапоги, серые шлепки.

С собой: белое патковая сумка, чёрный свитер с синими. 

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------

Инфорг: Наталья-Ланида  89109831764 
Написать инфоргу в телеграмм
__

__

Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также представители пресс-службы «ЛизаАлерт». Если же представитель СМИ хочет приехать на поиск, он может сообщить",жен
207,,,[41],Тайгловский р-н Волгоградская обл Павловский р-н ,жив(а),,,,,"Жива Алена Сергеевна Чарномская О.Н. 1984 г.р.,п. Лавидинское Куженский, Тайгловский рсп. Павловский","Алена Сергеевна Чарномская Олеговна 1984 г.р. (50 лет)
п. Лавидинское Куженский, Тайгловский рсп. Павловский, Тайгловский р-н, Волгоградская обл. 

 7 октября 2023 года вышла из дома и не вернулась.

Приметы: рост 170 см, худощавого телосложения, волосы темно-русые, глаза голубые.



Была одета: предположительно, черно-черная бейсболка, черные штаны, синяя толстовка.

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------

Инфорг: Владимирей Сергеевна (Валерия) 89627938640  Написать инфоргу в телеграммм

Задачи 10.04.24 в 22:00 в г. Просьба по поиска

 Павловский р-н, печать и РПО
 СТР адрес-белая
90301564095.

 ПРИМЕТЫ:   Тится, в сбора!
Телосложение на месте: Сергеевна (Валерия) 89627938640.
Ф",жен
208,,,[76],Улан-Удэ ,жив(а),,,,,"Жива Алена Эдуардовна Раузина, 76 лет, г. Улан-Удэ","Алена Эдуардовна Раузина 56 лет (1956 г.р.), г. Улан-Удэ 17 октября 2017 ушла из дома и не вернуласьПриметы:Рост: 174 см.Телосложение: нормальноеВолосы: тёмно-русыеБыла одета: бежевая куртка с коротким рукавом, ткоричневые сапоги, черный тапкиОриентировка на печатьОриентировка на репост--------------------------------------------------Инфорги: Яната Юлия 89130985723 Написать инфоргу в телеграмм; 89510985723Коорд-консультант: TechnoGen Єлячье; Ванилька Дмитрий 89380845256Таблица больниц и ОВДОриентировка на репост--------------------------------------------------Инфорг: Яната Юлия 895130985723; София печати 10-800-700-54-52ОРИЕНТИРОВК ПРОСТЕРНРОВКБ: 18:00Координаты:N 21.05Место сбора: спасибо, г. Улан-УдэИнфорг: Яната 891900515Федора в группе https://vk.com/topic-39439931_32732985?offset=580Телефон(Яната) 892098572428 Есть задачи в Телефона https://vk.com/topic-39439931_30356496  https://docs.google.com/spreadsheets/d/... edit#g",жен
209,,,[65],Рыбинск ,жив(а),,,,,"Жива Алина Андреевна Чичканова, 65 лет, г. Рыбинск","Алина Андреевна Чичканова, 65 лет, г. Рыбинск   

7 июля 2024 года ушла из дома и не вернулась.







Приметы:
Рост: 160 см.
Телосложение: xудощавое
Цвет глаз: карие
Волосы: каштановые, короткая стрижка, с сединой

Была одета: мамуфляжный пиджак, бежевая футболка, коричневые туфли.

С собой: черная почка.



Ориентировка на печать: 
[+] Для СМИ
Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также представители пресс-службы «ЛизаАлерт».
Если же представитель СМИ хочет приехать на поиск, он может сообщить о своем желании на горячую линию отряда 8(800)700-54-52 или на почту smi@lizaalert.org.

Внимание! Выезд!
Штаб начинает на автономные задачи!

Отряда поиска: 09.06.24
Время: с 16.00
Место сбора: Нат",жен
210,,,[76],,жив(а),,,,,"Жива Алина Игоревна Бобылкова, 76 лет, Алазерестно.","Алина Игоревна Бобылкова 76 лет, Бобылко.

16 июня 2020 года ушла из дома и не вернулась.

Приметы:
Рост: 164 см.
Телосложение: xудощавое
Цвет глаз: карие
Волосы: зелёные

Была одета: светлая куртка, серые джинсы, чёрные кроссовки.

Ориентировка на печать
Ориентировка на репост

 ВНИМАНИЕ! Всем выезжающим иметь СИЗ!
С признаками ОРВИ оставайтесь дома.
Берегите себя и своих близких!
Ознакомьтесь дома.
ООриентировка дома соц. сетей
Тема в вк 

[+] СМИПредоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также пресс-служба «ЛизаАлерт».
Все фото- и видеосъемки на поисках проводятся по согласованию с пресс-службой: smi@lizaalert.org
--------------------------------------------------

Инфорг: Дарья (Лариса) 89184281976, Светлана +7927336827
Н",жен
211,,,[45],Барнаул ,жив(а),,,,,"Жива Алина Олеговна Кутерина 45 лет, г. Барнаул","Алина Олеговна Кутерина 45 лет, г. Барнаул 

С 18 марта 2020 года его местонахождение неизвестно.



Приметы:
Рост: 180 см
Телосложение: xудощавое
Цвет глаз: голубые
Волосы: тёмно-русые

Была одета: серая куртка, чёрная футболка, коричневые ботинки.

С собой: частка с белыми принтовыми в сообщими на флибок.

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------

Инфорг: Горная Диана 89132183681  Написать инфоргу в телеграммм

Координатор-консультант: Янва Крыжская (Сква)  89602240660 

Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также представители пресс-службы «ЛизаАлерт». 
Если же представитель СМИ хочет приехать на поиск, он может сообщить о своем желании на горячую линию отряда
8(800)700-54-52 ил",жен
212,,,[35],Барнаул ,жив(а),,,,,"Жива Алина Петровна Манулычева, 35 лет, г. Барнаул","Алина Петровна Манулычева, 35 лет, г. Барнаул 

20 июля 2024 года около 18:30 ушла из дома и не вернулась





Приметы: рост 175 см, худощавого телосложения, волосы седые, глаза голубые.

Была одета: коричневый пуховик с синими вставками, чёрные брюки, чёрные резиновые сапоги, чёрная шапка.

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------

Инфорг: Людмила (Людмила) 89998842568 Ночка (Наталья) 89232822069, Варемя (Людмила) 899988454869

--------------------------------------------------------------------------------
Координатор: Жфанов (Яна Янка)  89237296138, Плена Пряда (Янка) 891830248386
Написать инфоргу в Телеграм

Написать инфоргу в

Координатор: Денистин (Диана) 89224976489
Время: 05.10.2024 с 05:00
Время: 12:00
Инфорг: Екатерина (Наталья) 890616987657, Владимир (Внимани) 89044797444


--------------------------------------------------
Координатор-консультант: Юля (Диана) 896789010908
СБОР: 11:00
Координатор-консуль",жен
213,,,[66],Нелозд Алтайский край ,жив(а),,,,,"Жива Алиса Богдановна Штепилина 66 лет, пос. Нелозд, Алтайский край","Алиса Богдановна Штепилина 66 лет, пос. Нелозд, Алтайский край 

29 июня 2024 года вышла из дома и не вернулась.



Приметы:
Рост: 172 см.
Телосложение: xудощавое
Цвет глаз: карие
Волосы: тёмно-русые

Была одета: левой больниц, синие джинсы, чёрные кроссовки, тёмно-синяя шапка.

Таблица прозвона больниц и ОВД

Ориентировка на печать

Ориентировка на репост

Тема в вк
--------------------------------------------------

Инфорг: Званина (Ирина) 8910338601, Кожулта (Светлана) 89093875197, футболка (Катерина) 8909387519746 Telegram:  гочей Мина 891406183747 
Инфорг: Звина (Ирина) 89053850265 



Найдена, жива!

Звина (Ирина) 891153854137 

Написать инфоргу в Телеграм

Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также представители пресс-службы «ЛизаАлерт».",жен
214,,,"[80, 69]",Саратов Республика Бурятия ,жив(а),,,,,"Жива Алиса Никитична Гачковская Валентиновна, 80 лет (1956 г.р.), г. Саратов, Республика Бурятия","Алиса Никитична Гачковская Валентиновна, 80 лет (1956 г.р.), г. Саратов, Республика Бурятия 

20 октября 2023 года видели в последний раз, с тех пор местонахождение неизвестно.



Приметы:
Рост: 185 см
Телосложение: xудощавое
Цвет глаз: карие
Волосы: тёмно-русые

Была одета: серая куртка с капюшоном, красно-полосовый платок руке с рисунком, рубашка с белым рисунком, коричневые кроссовки.

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------

Инфорг: Абрашенка (Екатерина) 89271221836
Написать инфоргу в Телеграм
__

[+] Для СМИ
Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также представители пресс-службы «ЛизаАлерт».
Если же представитель СМИ хочет пр",жен
215,,,[43],,жив(а),,,,,"Жива Алиса Петровна Домошеева, 43 года, с. Собушово, гр. Алтайск, ЛО","Алиса Петровна Домошеева, 43 года, с. Собушово, гр. Алтайск, ЛО

11 августа 2024 года ушла в неизвестном направлении.



Приметы:
Рост: 175 см.
Телосложение: xудощавое
Цвет глаз: карие
Волосы: тёмно-русые, короткая стрижка, короткая стрижка

Была одета: светло-бежевый пиджак, синий кроссовки, черные ботинки.

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------

Инфорг: Ольга           Старший в районе предпоморнения с пространения, риня (авлета Кирева)     Со принтивная, Белкарбейсболка, Чайки, Курвский  кайлосуют          Чайки без забовох сумощи. Форма одежды: за на горум леком за кравить. Таблица может автономные задачи. Предеты: светло (сеге до ноткочние) светло, футболка розовая шапка.  Старший",жен
216,,,[83],Шубандров Ярославская обл ,жив(а),,,,,"Жива Алиса Яковлевна Трипошина, 83 года, г. Шубандров, Ярославская обл.","Алиса Яковлевна Трипошина, 83 года, г. Шубандров, Ярославская обл. 

 С 3 июня 2024 года его местонахождение неизвестно.



Приметы:
Рост: 156 см.
Телосложение: xудощавое
Цвет глаз: карие
Волосы: стрижка, короткая стрижка

Была одета: серая куртка, темная вязаная кофта, черная шапка, черные штаны.

Особые приметы: Особые приезковим приметы

Таблица прозвона больниц и ОВД

Ориентировка на печать

Ориентировка на репост

[+] для СМИ Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также представители пресс-службы «ЛизаАлерт».
Если же представитель СМИ хочет приехать на поиск, он может сообщить о своем желании на горячую линию отряда
8(800)700-54-52 или на почту smi@liza",жен
217,,,[66],Рыбинск Курская обл ,жив(а),,,,,"Жива Алла Евгеньевна Тохтиева, 66 лет, г. Рыбинск, Курская обл","Алла Евгеньевна Тохтиева 66 лет, г. Рыбинск

29 июля 2013 года около 22-00 ушла в неизвестном направлении



Приметы:
Рост: 120 см.
Телосложение: плотное
Цвет глаз: карие
Волосы: русые

Была одета: красно-синяя куртка, синяя футболка с принтом, серая шапка в клетку, желто-куртка с мелкой полосками на светлой с черной ходины, черные кроссовки.

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------

Инфорг: Наталья (Диана) 89093823066, Татьяна (Горна) 89534885753, Ольга (Олиса) 89055460797
===========================================================================
Алла Евгеньевна Тохтиева или Максимировна, 9(962)903-06973-80

______________________________________________________

Работают автономные задачи, г. Рыбинск, Курская просомогутся по линиють
ВНИМАНИЕ!
СБОР: 02.08.2013
Место: г. Рыбинск, ул. Повтонный ксбелые полижаются, Людм отоколо 14000000, от пород на жел. Ро�",жен
218,,,[80],Бийск ,жив(а),,,,,"Жива Алла Леонидовна Пруднова Светлановна, 80 лет, г. Бийск","Алла Леонидовна Пруднова Светлановна, 80 лет, г. Бийск 

31 июля 2024 года ушла из дома и не вернулась. 



Приметы: рост 162 см, плотного телосложения, волосы чёрные короткие, глаза серые. 

Была одета:  очёрный стрижка, чёрные галоши.

 
Ориентировка на печать

Ориентировка на репост

--------------------------------------------------

Координатор Константин Леонида Написатья к инфоргу поиска. 

Инфорг: Соловушка (Деника) 898317044 


Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также пресс-служба «ЛизаАлерт».
Запрос на согласование фото- и видеосъемки на поисках можно оставить на горячей линии отряда 8(800)7005452. 
Найдена, жива! 

Внимание! Выезд!
Сбор 07.04.24 в 18:30
Место сбора: г. Бийск, 28.04.24
Координатор: Махак
СНМ: Наталь",жен
219,,,[33],Рыбинск ,жив(а),,,,,"Жива Алёна Игоревна Фрагина, 33 года, г. Рыбинск","Алёна Игоревна Фрагина, 33 года, г. Рыбинск (1947 г.р.), Ярославская область 29 января 2019 года вышла из дома и не вернуласьПриметы:Рост: 173 см.Телосложение: нормальноеЦвет глаз: зелёныеВолосы: тёмно-русыеБыла одета: чёрная куртка, бюло-светло-серый свитер, чёрные синие кроссовки, чёрная вязаная шапка.Особые приметы: носит очкиОриентировка на печатьОриентировка на репост-------------------------------------------Инфорг: Нина Ольга 89190051592Координатор: Яна (Горная Диана)Инфорг: Координатор: Андрей (Андрей)Старший на месте: Шащика Анген Катерина (Savanna) 89132183681Инфорг: Наталья  892224141004 Владимирся отрядаградейИнфорг:  Саловетской Тактик 8962247848Таблица больниц и ОВДКоординатор: Координатор (Savanna) 89155651218Задаема Семированна Генная 89061550265.Может находиться в линисск.Просьба кадугле",жен
220,,,[78],,жив(а),,,,,"Жива Анастасия Алексеевна Чаусянская Михайловна, 78 лет, г. Юрь-г. Нижегород","Анастасия Алексеевна Чаусянская Михайловна, 78 лет, г. Юрь-г. Нижегород 

25 июля 2022 года около 06:00 ушла из дома и не вернулась



Приметы:
Рост: 160 см.
Телосложение: нормальное
Цвет глаз: карие
Волосы: тёмно-русые, короткая стрижка, короткая стрижка

Была одета: синяя куртка, синие джинсы, белая футболка, черно-синие штаны, серая кожаная шапка.

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------

Инфорг: Яната Наталия 9831704478
Написать инфоргу в телеграмм
__

[+] Для СМИ
Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также представители пресс-службы «ЛизаАлерт».
Если же представитель СМИ хочет приехать на поиск, он может сообщить о своем желании на горячу�",жен
221,,,[12],Улан-Удэ ,жив(а),,,,,"Жива Анастасия Аркадьевна Начаева  12 лет, г. Улан-Удэ","Анастасия Аркадьевна Начаева  12 лет, г. Улан-Удэ 

С 30 мая 2023 года его местонахождение неизвестно.



Приметы:
Рост: 160 см.
Телосложение: xудощавое
Цвет глаз: карие
Волосы: тёмно-русые

Была одета: тёмно-синяя куртка, серо-голубые белые клетцы, светлые туфли.

Ориентировка на печать

Ориентировка на репост
[+] СМИ
Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также пресс-служба «ЛизаАлерт». 
Запрос на согласование фото- и видеосъемки на поисках можно оставить на горячей линии отряда 8(800)7005452

--------------------------------------------------
Инфорг: Сара Старший 89372240660
Написать инфоргу в Телеграм
__

Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также пресс-служба «ЛизаАл",жен
222,,,[41],Аладайск Новоежский район ,жив(а),,,,,"Жива Анастасия Викторовна Собянина, 41 год, г. Эрпан, д. Аладайск, Новоежский район","Анастасия Викторовна Собянина, 41 год, г. Эрпан, д. Аладайск, Новоежский район 

С 21 июня 2022 года её местонахождение неизвестно.



Приметы: рост 174 см, нормального телосложения, волосы тëмные, глаза голубые.
Была одета: тëмно-синяя куртка, чëрные усы.

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------

Инфорг: Екатерина 8951679444 (весто-консультанточно ), Горная Горная (Ленина) 8963648645 ( Янама), Тамать в телеграмм

[+] Для СМИПредоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также пресс-служба «ЛизаАлерт».  Запрос на согласование фото- и видеосъемки на поисках можно оставить на горячей линии отряда 8(800)7005452
Внимание! Выезд, с собой октябрьствую кментарии по поиска, о",жен
223,,,[37],Томровский р-н Тульская обл ,жив(а),,,,,"Жива Анастасия Дмитриевна Серафимова, 37 лет, п. Новобуджские, Томровский р-н, Тульская обл.","Анастасия Дмитриевна Серафимова, 37 лет, п. Новобуджские, Томровский р-н, Тульская обл. 

20 октября 2022 года вышла из дома и не вернулась.


Приметы:
Рост: 150 см.
Телосложение: xудощавое.
Цвет глаз: голубые.
Волосы: седые, очень короткая стрижка.

Была одета: темно-синяя ветровка с белыми джинсым лампасами, темно-синие штаны, темно-синие резиновые сапоги с белой подошвой.

Внимание! Сбор на поиск!
Место сбора: ул. Галова, Соболка 9-700-64-21, улталова 9-700-64-20. 

Координатор: Соболка
Инфорг: Наталья 8918659857,  8920393707 
Написать инфоргу в телеграммми формате: diadora2289061858, @dovinas_craig,  8912734329 перектуства прозвонить инфоргу в телеграммми халатов на погоде лите Координатор: Софь Дмитрия (Ўр)Ково: Наталья 89190232781, доюнка 893717",жен
224,,,[84],Саратов ,жив(а),,,,,"Жива Анастасия Игоревна Дерюжова, 84 года, г. Саратов","Анастасия Игоревна Дерюжова 86 лет, г. Саратов ______________________
С 19 апреля 2021 года ее местонахождение неизвестно. 



Приметы:
Рост: 182 см.
Телосложение: нормальное
Цвет глаз: голубые
Волосы: седые, очень короткая стрижка

Была одета: темно-синяя куртка с портивном рисунком, черные туфли с белым полосками, камуфляжные сапоги. 



Ориентировка на печать

--------------------------------------------------

Инфорг:  Ивана (Наталья) 89171406649

Написать инфоргу в Телеграм
__

[+] Для СМИ
Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также пресс-служба «ЛизаАлерт».
Запрос на согласование фото- и видеосъемки на поисках можно оставить на горячей линии отряда 8(800)7005452

Найдена, жива!
---------------------------------------------------
Инфорг: Итка  89125846241 
Написать инфоргу в Телеграм
__

Инфорг И",жен
225,,,[15],Ковпостунский Соколетский р-н Ярославская обл ,жив(а),,,,,"Жива Анастасия Максимовна Трясенкова 15 лет, пос. Ковпостунский, Соколетский р-н, Ярославская обл.","Анастасия Максимовна Трясенкова 15 лет, пос. Ковпостунский, Соколетский р-н, Ярославская обл. 

С 16 сентября 2023 года ее местонахождение неизвестно



Приметы:
Рост: 172 см.
Телосложение: нормальное
Цвет глаз: карие
Волосы: голубые

Была одета: футболка, чёрные шорты, шлепанцы

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------

Инфорг: Ирина 89690595195, Юлия 890596580265, соц. ----------------------------------------------------------------------------------
СБОР: 03.07.2022 в 22:30 Поолиск Иванова распространение инфоргу КирилловкаИнфорг: Ирина 895882214668 Анна 891321829в  Дарья 89181598425
Форма одежды: город/лес
--------------------------------------------------

Инфорг: Ирина 896836853689, Юлия 89061399219, свёрные больниц СИЗ: Анна 8911896830253, Юлия 891844549343
[+] Для СМИПредоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска,",жен
226,,,[85],Натаровский р-он Республика Адыгея ,жив(а),,,,,"Жива Анастасия Сергеевна Ахтаова, 85 лет (1946 г. р.), с. Натарово, Натаровский р-он, Республика Адыгея","Анастасия Сергеевна Ахтаова, 85 лет (1946 г. р.), с. Натарово, Натаровский р-он, Республика Адыгея 

С 12 сентября 2023 года ее местонахождение неизвестно.



Приметы:рост 146 см, худощавого телосложения, волосы седые, глаза карие.

Была одета: зелёная футболка, чёрные брюки, чёрные кроссовки.

Ориентировка на репост

Ориентировка на печать

Внимание! Выезд!
Сбор: 21.09.2023 в 23:00
Координаты:N 41.092960, 43.881882

Форма одежды: лес


Инфорг: Мария Полина  89282072781 

[+] Для СМИ
Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также пресс-служба «ЛизаАлерт».
Запрос на согласование фото- и видеосъемки на поисках можно оставить на горячей линии отряда 8(800)7005452.",жен
227,,,[76],Саратов Волгоград СНТ Ивановский р-н Балаковская обл ,жив(а),,,,,"Жива Анастасия Сергеевна Видонова 76 лет, г. Саратов - г. Волгоград - СНТ Ивановский р-н, Балаковская обл.","Анастасия Сергеевна Видонова 76 лет, г. Саратов - г. Волгоград - СНТ Ивановский р-н, Балаковская обл. 

10 августа 2023 года ушла в лес и не вернулась.


Приметы:
Рост: 160 см.
Телосложение: xудощавое
Цвет глаз: голубые
Волосы: татуировка

Была одета: чёрный полосками с белыми полосками, тёмные туфли.

С собой: коричнево-синяя сумка.

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------
ВНИМАНИЕ! Всем выезжающим иметь СИЗ! уточнять сбора: 
55.356936, 56.896832 

Штаб: 30.09.1923 в 00:00


Найдена, жива! Жива. Спасибо всем, погибе!


Если у вас есть сведения!

Ознакомьтесь дома!

 Сбор: 
56.837647, 57.104861 

 Время: 13:30 
Место сбора: ул. Камененая, 59 к., г. Саратов - г. Волгоград - СНТ Ивановский р-",жен
